id,source,link
3341,1970 - 1980,French
3342,1970 - 1980,1976
3343,1976,"Брієр, Жан: Привітання Леніну: Вірш, № 04"
3344,1970 - 1980,Haiti
3345,1970 - 1980,-
3346,1970 - 1980,1974
3347,1974,"Депестр, Рене: Патріс Лумумба: Вірш, № 05"
3348,1980 - 1990,Haiti
3349,1980 - 1990,French
3350,1980 - 1990,1986
3351,1986,"Депестр, Рене: Ярмарковий стовп: Роман, № 12"
3352,1970 - 1980,Haiti
3353,1970 - 1980,French
3354,1970 - 1980,1974
3355,1974,"Моріссо, Ролан: Ключ від сонця: Вірш, № 05"
3356,1970 - 1980,Haiti
3357,1970 - 1980,French
3358,1970 - 1980,1974
3359,1974,"Румен, Жак: Ліс чорних дерев: Вірш, № 05"
3360,1970 - 1980,Haiti
3361,1970 - 1980,French
3362,1970 - 1980,1974
3363,1974,"Фелпс, Антоні: Вірш до гори: Вірш, № 05"
3364,1970 - 1980,Haiti
3365,1970 - 1980,French
3366,1970 - 1980,1974
3367,1974,"Філоктет, Рене: Надія: Вірш, № 05"
3368,1980 - 1990,Guyana
3369,1980 - 1990,English
3370,1980 - 1990,1984
3371,1984,"Нарайн, Гаррі: Холодильник для дружини, № 10"
3372,1980 - 1990,Guyana
3373,1980 - 1990,English
3374,1980 - 1990,1984
3375,1984,"Нарайн, Гаррі: На останньому порозі, № 10"
3376,1980 - 1990,Guyana
3377,1980 - 1990,English
3378,1980 - 1990,1984
3379,1984,"Нарайн, Гаррі: Святкова історія, № 10"
3380,1980 - 1990,Guyana
3381,1980 - 1990,English
3382,1980 - 1990,1984
3383,1984,"Нарайн, Гаррі: Наші менші брати: Оповідання, № 10"
3384,1960 - 1970,Ghana
3385,1960 - 1970,English
3386,1960 - 1970,1962
3387,1962,"Дей-Ананг, М: Холодильник для дружини, № 07"
3388,1960 - 1970,Ghana
3389,1960 - 1970,English
3390,1960 - 1970,1962
3391,1962,"Дей-Ананг, М: На останньому порозі, № 07"
3392,1960 - 1970,Ghana
3393,1960 - 1970,English
3394,1960 - 1970,1962
3395,1962,"Дей-Ананг, М: Святкова історія, № 07"
3396,1960 - 1970,Ghana
3397,1960 - 1970,English
3398,1960 - 1970,1962
3399,1962,"Дей-Ананг, М: Наші менші брати: Оповідання, № 07"
3400,1950 - 1960,Ghana
3401,1950 - 1960,English
3402,1950 - 1960,1959
3403,1959,"Дуду, Камерон: Дінкуяма: Оповідання, № 05"
3404,1960 - 1970,Ghana
3405,1960 - 1970,English
3406,1960 - 1970,1963
3407,1963,"Окай(Окаї), Джон: Гімн людству: Поема, № 05"
3408,1970 - 1980,Ghana
3409,1970 - 1980,-
3410,1970 - 1980,1972
3411,1972,"Окай(Окаї), Джон: Космічні ритми: Уривок з вірша, № 12"
3412,1970 - 1980,Guatemala
3413,1970 - 1980,Spanish
3414,1970 - 1980,1976
3415,1976,"Астуріас, Мігель Анхель(Анхел: Дзеркало Ліди Саль: Новела, № 02"
3416,1950 - 1960,Guatemala
3417,1950 - 1960,Spanish
3418,1950 - 1960,1959
3419,1959,"Астуріас, Мігель Анхель(Анхел: Для громадської думки...: Оповідання, № 10"
3420,1990 - 2000,Guatemala
3421,1990 - 2000,Spanish
3422,1990 - 2000,1994
3423,1994,"Астуріас, Мігель Анхель(Анхел: Коли індіанці спускаються з Мікско: Вірш, № 5/6"
3424,1970 - 1980,Guatemala
3425,1970 - 1980,Spanish
3426,1970 - 1980,1977
3427,1977,"Астуріас, Мігель Анхель(Анхел: Скорбна п’ятниця: Роман, № 02"
3428,1970 - 1980,Guatemala
3429,1970 - 1980,Spanish
3430,1970 - 1980,1977
3431,1977,"Астуріас, Мігель Анхель(Анхел: Скорбна п’ятниця: Роман, № 03"
3432,1970 - 1980,Guatemala
3433,1970 - 1980,Spanish
3434,1970 - 1980,1977
3435,1977,"Астуріас, Мігель Анхель(Анхел: Скорбна п’ятниця: Роман, № 04"
3436,1970 - 1980,Guatemala
3437,1970 - 1980,Spanish
3438,1970 - 1980,1979
3439,1979,"Рене Кастільйо, Отто: «Рушаймо, Вітчизно, в дорогу...»: Вірш, № 05"
3440,1960 - 1970,Guiana
3441,1960 - 1970,English
3442,1960 - 1970,1967
3443,1967,"Міттельхольцер, Едгар: Міс Кларк помирає: Оповідання, № 08"
3444,1960 - 1970,Guinea-Bissau
3445,1960 - 1970,French
3446,1960 - 1970,1961
3447,1961,"Угніно, Марсела: Негритянкам усієї Африки: Вірш, № 05"
3448,1950 - 1960,Honduras
3449,1950 - 1960,Spanish
3450,1950 - 1960,1958
3451,1958,"дель Вальс, Помпейо Сірано: Маніфест: Вірш, № 01"
3452,1970 - 1980,Honduras
3453,1970 - 1980,Spanish
3454,1970 - 1980,1976
3455,1976,"Касерес Лара, Віктор: Випалювання лісу: Оповідання, № 02"
3456,1960 - 1970,Greece
3457,1960 - 1970,Greek
3458,1960 - 1970,1960
3459,1960,"Антеос, Петрос: В переддень великого свята: Лір. поема, № 05"
3460,1950 - 1960,Greece
3461,1950 - 1960,Greek
3462,1950 - 1960,1959
3463,1959,"Антеос, Петрос: Молодіжне: Вірш, № 05"
3464,1990 - 2000,Greece
3465,1990 - 2000,Modern Greek
3466,1990 - 2000,1998
3467,1998,"Асимакопулос, Костас: Дерево, що танцює: Роман, № 02"
3468,1990 - 2000,Greece
3469,1990 - 2000,Modern Greek
3470,1990 - 2000,1998
3471,1998,"Асимакопулос, Костас: Дерево, що танцює: Роман, № 03"
3472,1980 - 1990,Greece
3473,1980 - 1990,Greek
3474,1980 - 1990,1982
3475,1982,"Бумі-Папа, Ріта: Україна: Вірш, № 12"
3476,1990 - 2000,Greece
3477,1990 - 2000,Greek
3478,1990 - 2000,1990
3479,1990,"Васілікос, Васіліс: Повернення Одіссея Клеанта на Ітаку, № 07"
3480,1990 - 2000,Greece
3481,1990 - 2000,Greek
3482,1990 - 2000,1990
3483,1990,"Васілікос, Васіліс: Стара Евтихія та Міхос: Оповідання, № 07"
3484,1950 - 1960,Greece
3485,1950 - 1960,Greek
3486,1950 - 1960,1959
3487,1959,"Вреттакос, Нікіфорос: Поезії, № 05"
3488,1980 - 1990,Greece
3489,1980 - 1990,Modern Greek
3490,1980 - 1990,1980
3491,1980,"Елітіс, Одіссей: Поезії, № 10"
3492,1950 - 1960,Greece
3493,1950 - 1960,Greek
3494,1950 - 1960,1959
3495,1959,"Іоаніду, Еллі: Двері: Вірш, № 05"
3496,1960 - 1970,Greece
3497,1960 - 1970,French
3498,1960 - 1970,1962
3499,1962,"Іоаніду, Еллі: Імпресія, № 03"
3500,1960 - 1970,Greece
3501,1960 - 1970,French
3502,1960 - 1970,1962
3503,1962,"Іоаніду, Еллі: У літню ніч: Вірші з в’язниці, № 03"
3504,1990 - 2000,Greece
3505,1990 - 2000,Modern Greek
3506,1990 - 2000,1991
3507,1991,"Кавафіс, Костянтин(Константінос): Поезії, № 02"
3508,1990 - 2000,Greece
3509,1990 - 2000,Greek
3510,1990 - 2000,2000
3511,2000,"Кавафіс, Костянтин(Константінос): Che fece... il gran rifiuto: Вірш, № 3/4"
3512,1980 - 1990,Greece
3513,1980 - 1990,Modern Greek
3514,1980 - 1990,1983
3515,1983,"Казандзакіс, Нікос: Алексіс Зорба: Роман, № 12"
3516,1960 - 1970,Greece
3517,1960 - 1970,Modern Greek
3518,1960 - 1970,1965
3519,1965,"Казандзакіс, Нікос: Капітан Міхаліс (Свобода або смерть): Роман, № 09"
3520,1970 - 1980,Greece
3521,1970 - 1980,Greek
3522,1970 - 1980,1971
3523,1971,"Кодзяс, Костас: -, № 04"
3524,1960 - 1970,Greece
3525,1960 - 1970,Greek
3526,1960 - 1970,1968
3527,1968,"Кодзяс, Костас: Повернення: Драма, № 06"
3528,1980 - 1990,Greece
3529,1980 - 1990,Modern Greek
3530,1980 - 1990,1980
3531,1980,"Корнарос, Темос: Концтабір Хайдарі: Повість, № 05"
3532,1980 - 1990,Greece
3533,1980 - 1990,Modern Greek
3534,1980 - 1990,1982
3535,1982,"Лівадітіс, Тасос: Кантата для двох мільярдів голосів: Поема, № 09"
3536,1980 - 1990,Greece
3537,1980 - 1990,Greek
3538,1980 - 1990,1984
3539,1984,"Лідорікіс, Александрос: Вирвані з корінням: П’єса, № 07"
3540,1950 - 1960,Greece
3541,1950 - 1960,Greek
3542,1950 - 1960,1959
3543,1959,"Лудеміс, Менелаос. «Мені чудово...»: Вірш: -, № 05"
3544,1950 - 1960,Greece
3545,1950 - 1960,Greek
3546,1950 - 1960,1959
3547,1959,"Мірівіліс, Стратіс: Приймачка: Оповідання, № 06"
3548,1980 - 1990,Greece
3549,1980 - 1990,Greek
3550,1980 - 1990,1984
3551,1984,"Паламас, Костіс: Вперед, № 07"
3552,1980 - 1990,Greece
3553,1980 - 1990,Greek
3554,1980 - 1990,1984
3555,1984,"Паламас, Костіс: 3 поеми «12 заповітів цигана»: Поезії, № 07"
3556,1950 - 1960,Greece
3557,1950 - 1960,Modern Greek
3558,1950 - 1960,1958
3559,1958,"Папаперікліс, Нікос: Бабуся: Оповідання, № 01"
3560,1950 - 1960,Greece
3561,1950 - 1960,Greek
3562,1950 - 1960,1959
3563,1959,"Папаперікліс, Нікос: -, № 11"
3564,1950 - 1960,Greece
3565,1950 - 1960,Greek
3566,1950 - 1960,1959
3567,1959,"Папаперікліс, Нікос: -, № 12"
3568,1980 - 1990,Greece
3569,1980 - 1990,Modern Greek
3570,1980 - 1990,1986
3571,1986,"Пласковітіс, Спірос: Гребля: Роман, № 05"
3572,1950 - 1960,Greece
3573,1950 - 1960,Greek
3574,1950 - 1960,1959
3575,1959,"Ріцос, Янніс: Мир: Вірш, № 05"
3576,1980 - 1990,Greece
3577,1980 - 1990,Modern Greek
3578,1980 - 1990,1985
3579,1985,"Ріцос, Янніс: Мініатюри, № 11"
3580,1970 - 1980,Greece
3581,1970 - 1980,Greek
3582,1970 - 1980,1972
3583,1972,"Ріцос, Янніс: Під тінню гори: Поема, № 07"
3584,1970 - 1980,Greece
3585,1970 - 1980,Modern Greek
3586,1970 - 1980,1978
3587,1978,"Ріцос, Янніс: Поезії, № 08"
3588,1970 - 1980,Greece
3589,1970 - 1980,Greek
3590,1970 - 1980,1979
3591,1979,"Ріцос, Янніс: Поезії, № 05"
3592,1990 - 2000,Greece
3593,1990 - 2000,Greek
3594,1990 - 2000,1992
3595,1992,"Ріцос, Янніс: Поезії, № 3/4"
3596,1990 - 2000,Greece
3597,1990 - 2000,Greek
3598,1990 - 2000,2000
3599,2000,"Ріцос, Янніс: Справжня причина: Вірш, № 3/4"
3600,1960 - 1970,Greece
3601,1960 - 1970,Greek
3602,1960 - 1970,1964
3603,1964,"Ріцос, Янніс: Хода революції: Вірш, № 11"
3604,1980 - 1990,Greece
3605,1980 - 1990,Greek
3606,1980 - 1990,1982
3607,1982,"Самаракіс, Антоніс: Випадок під Новий рік: Оповідання, № 12"
3608,1980 - 1990,Greece
3609,1980 - 1990,Modern Greek
3610,1980 - 1990,1988
3611,1988,"Самаракіс, Антоніс: Паспорт: Оповідання, № 07"
3612,1970 - 1980,Greece
3613,1970 - 1980,Modern Greek
3614,1970 - 1980,1979
3615,1979,"Самаракіс, Антоніс: Прорахунок: Роман, № 07"
3616,1980 - 1990,Greece
3617,1980 - 1990,Modern Greek
3618,1980 - 1990,1987
3619,1987,"Сеферіс, Йоргос: Міф-історія: Поема, № 03"
3620,1960 - 1970,Greece
3621,1960 - 1970,Greek
3622,1960 - 1970,1966
3623,1966,"Сеферіс, Йоргос: Поезії, № 06"
3624,1960 - 1970,Greece
3625,1960 - 1970,Greek
3626,1960 - 1970,1964
3627,1964,"Хадзіс, Димитріс: Вчителева духівниця: Повість, № 06"
3628,1990 - 2000,Georgia
3629,1990 - 2000,Georgian
3630,1990 - 2000,2000
3631,2000,"Бараташвілі, Ніколоз: Мерані: Вірш, № 3/4"
3632,1920 - 1930,Georgia
3633,1920 - 1930,Georgian
3634,1920 - 1930,1929
3635,1929,"Джавахішвілі М: Два присуди: Оповідання, № 22"
3636,1920 - 1930,Georgia
3637,1920 - 1930,Georgian
3638,1920 - 1930,1929
3639,1929,"Джавахішвілі М: Два присуди: Оповідання, № 23"
3640,1930 - 1940,Georgia
3641,1930 - 1940,Georgian
3642,1930 - 1940,1930
3643,1930,"Назарлі: Коли танцюють мерці: Оповідання, № 14"
3644,1990 - 2000,Georgia
3645,1990 - 2000,Georgian
3646,1990 - 2000,2000
3647,2000,"Рчеулішвілі, Гурам: Танець велетнів: Сванська легенда, № 9/10"
3648,1920 - 1930,Georgia
3649,1920 - 1930,-
3650,1920 - 1930,1929
3651,1929,"Суліяшвілі, Давид: Мур: Оповідання, № 36"
3652,1920 - 1930,Georgia
3653,1920 - 1930,-
3654,1920 - 1930,1929
3655,1929,"Суліяшвілі, Давид: Мур: Оповідання, № 37"
3656,1920 - 1930,Georgia
3657,1920 - 1930,Georgian
3658,1920 - 1930,1929
3659,1929,"Татішвілі, Йос: Без заголовку: Оповідання, № 04"
3660,1990 - 2000,Georgia
3661,1990 - 2000,Georgian
3662,1990 - 2000,2000
3663,2000,"Табідзе, Галактіон: І. А.: Вірш, № 3/4"
3664,1980 - 1990,Denmark
3665,1980 - 1990,Danish
3666,1980 - 1990,1982
3667,1982,"Андерсен, Бенні: Таємничий лист: Оповідання, № 06"
3668,1980 - 1990,Denmark
3669,1980 - 1990,-
3670,1980 - 1990,1984
3671,1984,"Гольберг, Людвіг: Байки, № 12"
3672,1920 - 1930,Denmark
3673,1920 - 1930,Danish
3674,1920 - 1930,1926
3675,1926,"Ієнсен, Іганес: Чи це вам до вподоби: Оповідання, № 09"
3676,1930 - 1940,Denmark
3677,1930 - 1940,German
3678,1930 - 1940,1934
3679,1934,"Нексе, Мартін Андерсен: Виплата: Новела, № 17"
3680,1920 - 1930,Denmark
3681,1920 - 1930,Danish
3682,1920 - 1930,1927
3683,1927,"Нексе, Мартін Андерсен: Хліб: Оповідання, № 13"
3684,1960 - 1970,Denmark
3685,1960 - 1970,Danish
3686,1960 - 1970,1960
3687,1960,"Палессен, Оге: Син музики: Оповідання, № 10"
3688,1960 - 1970,Denmark
3689,1960 - 1970,Danish
3690,1960 - 1970,1962
3691,1962,"Петерсен, Йорген: Алжірські новели: Яруга, № 03"
3692,1960 - 1970,Denmark
3693,1960 - 1970,Danish
3694,1960 - 1970,1962
3695,1962,"Петерсен, Йорген: Повстанці в пустелі, № 03"
3696,1960 - 1970,Denmark
3697,1960 - 1970,Danish
3698,1960 - 1970,1962
3699,1962,"Петерсен, Йорген: Щур, № 03"
3700,1960 - 1970,Denmark
3701,1960 - 1970,Danish
3702,1960 - 1970,1962
3703,1962,"Петерсен, Йорген: Солдат купує дружину, № 03"
3704,1960 - 1970,Denmark
